YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_NKT
2020,10,1,6.56,0.95
2020,10,2,6.09,0.89
2020,10,3,6.05,0.89
2020,10,4,6.03,0.9
2020,10,5,6.04,0.91
2020,10,6,6.05,0.91
2020,10,7,5.22,0.8
2020,10,8,5.87,0.9
2020,10,9,5.32,0.82
2020,10,10,5.88,0.91
2020,10,11,5.77,0.91
2020,10,12,5.03,0.8
2020,10,13,5.36,0.86
2020,10,14,5.53,0.89
2020,10,15,5.36,0.88
2020,10,16,4.78,0.78
2020,10,17,4.66,0.77
2020,10,18,5.54,0.92
2020,10,19,4.95,0.84
2020,10,20,4.16,0.71
2020,10,21,4.6,0.79
2020,10,22,4.79,0.83
2020,10,23,4.03,0.7
2020,10,24,3.9,0.69
2020,10,25,3.94,0.7
2020,10,26,4.02,0.72
2020,10,27,1.71,0.31
2020,10,28,5.33,0.98
2020,10,29,5.37,0.99
2020,10,30,5.28,0.98
2020,10,31,5.03,0.95
