,YEAR,MO,DY,mean_kilowatt_per_hour
0,2021,9,1,0.25
1,2021,9,2,0.25
2,2021,9,3,0.25
3,2021,9,4,0.25
4,2021,9,5,0.25
5,2021,9,6,0.25
6,2021,9,7,0.25
7,2021,9,8,0.25
8,2021,9,9,0.25
9,2021,9,10,0.25
10,2021,9,11,0.25
11,2021,9,12,0.25
12,2021,9,13,0.25
13,2021,9,14,0.25
14,2021,9,15,0.25
15,2021,9,16,0.25
16,2021,9,17,0.25
17,2021,9,18,0.25
18,2021,9,19,0.25
19,2021,9,20,0.25
20,2021,9,21,0.25
21,2021,9,22,0.25
22,2021,9,23,0.25
23,2021,9,24,0.25
24,2021,9,25,0.25
25,2021,9,26,0.25
26,2021,9,27,0.25
27,2021,9,28,0.25
28,2021,9,29,0.25
29,2021,9,30,0.25
