YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_NKT
2020,1,1,1.49,0.59
2020,1,2,2.89,1.12
2020,1,3,3.04,1.18
2020,1,4,2.64,1.02
2020,1,5,2.81,1.08
2020,1,6,3.19,1.21
2020,1,7,3.18,1.2
2020,1,8,2.27,0.85
2020,1,9,2.35,0.88
2020,1,10,2.68,0.99
2020,1,11,2.27,0.83
2020,1,12,2.67,0.97
2020,1,13,1.84,0.66
2020,1,14,3.29,1.17
2020,1,15,3.45,1.22
2020,1,16,1.92,0.67
2020,1,17,1.35,0.46
2020,1,18,2.6,0.88
2020,1,19,2.98,1
2020,1,20,2.96,0.98
2020,1,21,1.61,0.53
2020,1,22,2.61,0.85
2020,1,23,2.87,0.92
2020,1,24,3.43,1.09
2020,1,25,3.39,1.06
2020,1,26,3.64,1.12
2020,1,27,1.69,0.52
2020,1,28,3.92,1.19
2020,1,29,3.58,1.07
2020,1,30,3.49,1.02
2020,1,31,3.01,0.88
2020,2,1,2.93,0.84
2020,2,2,3.99,1.12
2020,2,3,2.95,0.82
2020,2,4,2.64,0.73
2020,2,5,3.75,1.02
2020,2,6,2.67,0.71
2020,2,7,2.01,0.53
2020,2,8,4.25,1.1
2020,2,9,2.79,0.72
2020,2,10,2.99,0.76
2020,2,11,4.58,1.14
2020,2,12,3.89,0.95
2020,2,13,4.04,0.98
2020,2,14,4.67,1.12
2020,2,15,4.33,1.02
2020,2,16,2.45,0.57
2020,2,17,3.99,0.91
2020,2,18,4.65,1.05
2020,2,19,4.22,0.94
2020,2,20,5.1,1.12
2020,2,21,4.89,1.06
2020,2,22,3.92,0.84
2020,2,23,2.96,0.62
2020,2,24,3.83,0.8
2020,2,25,4.34,0.89
2020,2,26,4.97,1.01
2020,2,27,5.48,1.1
2020,2,28,5.19,1.03
2020,2,29,5.02,0.98
2020,3,1,3.9,0.75
2020,3,2,4.54,0.87
2020,3,3,5.82,1.09
2020,3,4,5.87,1.09
2020,3,5,5.93,1.09
2020,3,6,5.28,0.95
2020,3,7,5.57,1
2020,3,8,3.94,0.7
2020,3,9,5.4,0.95
2020,3,10,4.15,0.72
2020,3,11,4.72,0.8
2020,3,12,5.14,0.87
2020,3,13,3.55,0.59
2020,3,14,5.86,0.96
2020,3,15,4.99,0.81
2020,3,16,6.18,1
2020,3,17,5.1,0.81
2020,3,18,5.38,0.84
2020,3,19,3.37,0.52
2020,3,20,5.35,0.83
2020,3,21,4.77,0.73
2020,3,22,5.67,0.86
2020,3,23,5.31,0.8
2020,3,24,6.66,0.98
2020,3,25,5.43,0.8
2020,3,26,6.64,0.96
2020,3,27,5.36,0.77
2020,3,28,6.53,0.93
2020,3,29,5.84,0.83
2020,3,30,5.87,0.82
2020,3,31,7.06,0.98
2020,4,1,5.77,0.79
2020,4,2,4.13,0.56
2020,4,3,6.78,0.91
2020,4,4,5.07,0.68
2020,4,5,6.22,0.83
2020,4,6,7.3,0.96
2020,4,7,7.59,0.99
2020,4,8,7.51,0.97
2020,4,9,5.95,0.77
2020,4,10,5.4,0.69
2020,4,11,7.12,0.9
2020,4,12,6.16,0.77
2020,4,13,6.35,0.79
2020,4,14,7.47,0.92
2020,4,15,5.79,0.71
2020,4,16,5.16,0.63
2020,4,17,7.58,0.92
2020,4,18,5.22,0.63
2020,4,19,5.87,0.7
2020,4,20,5.52,0.66
2020,4,21,5.27,0.62
2020,4,22,6.51,0.77
2020,4,23,5.53,0.65
2020,4,24,6.87,0.8
2020,4,25,8.18,0.95
2020,4,26,6.58,0.76
2020,4,27,7.64,0.87
2020,4,28,7.85,0.89
2020,4,29,8.32,0.94
2020,4,30,6.06,0.68
2020,5,1,7.57,0.84
2020,5,2,6.88,0.77
2020,5,3,8.05,0.89
2020,5,4,7.36,0.81
2020,5,5,8.63,0.95
2020,5,6,7.58,0.83
2020,5,7,8.69,0.95
2020,5,8,8.83,0.95
2020,5,9,8.87,0.95
2020,5,10,8.18,0.88
2020,5,11,4.31,0.46
2020,5,12,7.08,0.75
2020,5,13,8.3,0.88
2020,5,14,6.45,0.68
2020,5,15,5.5,0.58
2020,5,16,7.06,0.74
2020,5,17,7.22,0.75
2020,5,18,8.86,0.92
2020,5,19,6.15,0.64
2020,5,20,9.2,0.95
2020,5,21,9.06,0.94
2020,5,22,9.06,0.93
2020,5,23,7.39,0.76
2020,5,24,4.43,0.45
2020,5,25,8.51,0.87
2020,5,26,8,0.81
2020,5,27,6.38,0.65
