YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_NKT
2021,1,1,0.85,0.4
2021,1,2,1.34,0.62
2021,1,3,0.43,0.2
2021,1,4,1.05,0.48
2021,1,5,0.77,0.35
2021,1,6,0.55,0.25
2021,1,7,1.62,0.73
2021,1,8,1.85,0.82
2021,1,9,2.29,1.01
2021,1,10,2.39,1.04
2021,1,11,1.38,0.59
2021,1,12,1.63,0.7
2021,1,13,0.95,0.4
2021,1,14,1.11,0.46
2021,1,15,0.95,0.39
2021,1,16,1.37,0.55
2021,1,17,0.99,0.4
2021,1,18,1.38,0.55
2021,1,19,1.42,0.55
2021,1,20,1.97,0.76
2021,1,21,2.01,0.77
2021,1,22,1.41,0.53
2021,1,23,2.08,0.77
2021,1,24,2.76,1.01
2021,1,25,2.36,0.85
2021,1,26,0.73,0.26
2021,1,27,1.08,0.38
2021,1,28,3.09,1.06
2021,1,29,1.87,0.63
2021,1,30,3.39,1.13
2021,1,31,0.91,0.3
2021,2,1,1.3,0.42
2021,2,2,1.36,0.43
2021,2,3,1.75,0.55
2021,2,4,3.57,1.1
2021,2,5,2.27,0.69
2021,2,6,3.74,1.12
2021,2,7,1.44,0.42
2021,2,8,3.01,0.88
2021,2,9,1.64,0.47
2021,2,10,2.68,0.76
2021,2,11,1.98,0.55
2021,2,12,1.23,0.34
2021,2,13,2.03,0.55
2021,2,14,1.42,0.38
2021,2,15,0.86,0.22
2021,2,16,1.25,0.32
2021,2,17,3.7,0.93
2021,2,18,0.86,0.21
2021,2,19,1.5,0.37
2021,2,20,2.67,0.64
2021,2,21,4.22,1
2021,2,22,0.62,0.14
2021,2,23,0.81,0.19
2021,2,24,3.42,0.77
2021,2,25,4.7,1.05
2021,2,26,4.18,0.92
2021,2,27,1.91,0.41
2021,2,28,0.81,0.17
2021,3,1,1.98,0.41
2021,3,2,4.42,0.91
2021,3,3,4.45,0.91
2021,3,4,2.71,0.55
2021,3,5,5.17,1.03
2021,3,6,2.07,0.41
2021,3,7,4.94,0.95
2021,3,8,3.72,0.71
2021,3,9,4.64,0.88
2021,3,10,4.85,0.9
2021,3,11,3.53,0.65
2021,3,12,5.43,0.98
2021,3,13,5.86,1.05
2021,3,14,4.46,0.79
2021,3,15,5.95,1.04
2021,3,16,1.22,0.21
2021,3,17,3.02,0.52
2021,3,18,0.95,0.16
2021,3,19,6.23,1.03
2021,3,20,6.16,1.01
2021,3,21,6.17,1
2021,3,22,5.87,0.94
2021,3,23,5.27,0.84
2021,3,24,1.29,0.2
2021,3,25,4.04,0.62
2021,3,26,3.34,0.52
2021,3,27,4.58,0.7
2021,3,28,1.16,0.17
2021,3,29,5.56,0.83
2021,3,30,6.45,0.95
2021,3,31,1.28,0.19
2021,4,1,4.24,0.61
2021,4,2,6.84,0.98
2021,4,3,6.01,0.84
2021,4,4,6.3,0.88
2021,4,5,6.48,0.9
2021,4,6,6.49,0.89
2021,4,7,5.79,0.79
2021,4,8,6.48,0.88
2021,4,9,2.12,0.28
2021,4,10,4.04,0.53
2021,4,11,1.55,0.2
2021,4,12,1.39,0.18
2021,4,13,4.83,0.62
2021,4,14,4.07,0.52
2021,4,15,2.34,0.3
2021,4,16,2.58,0.33
2021,4,17,2.85,0.36
2021,4,18,4.29,0.53
2021,4,19,4.49,0.55
2021,4,20,5.19,0.63
2021,4,21,2.3,0.28
2021,4,22,4.95,0.59
2021,4,23,7.64,0.91
2021,4,24,6.17,0.73
2021,4,25,3.9,0.46
2021,4,26,7.84,0.92
2021,4,27,6.52,0.76
2021,4,28,4.59,0.53
2021,4,29,1.59,0.18
2021,4,30,5.4,0.62
2021,5,1,8.03,0.91
2021,5,2,5.09,0.58
2021,5,3,2.02,0.23
2021,5,4,4.6,0.52
2021,5,5,1.59,0.18
2021,5,6,6.94,0.77
2021,5,7,3.65,0.4
2021,5,8,3.83,0.42
2021,5,9,3.06,0.34
2021,5,10,4.83,0.52
2021,5,11,5.6,0.6
2021,5,12,6.86,0.73
2021,5,13,6.39,0.69
2021,5,14,6.62,0.7
2021,5,15,5.94,0.63
2021,5,16,4.45,0.47
2021,5,17,7.54,0.8
2021,5,18,7.49,0.79
2021,5,19,7.48,0.78
2021,5,20,7.13,0.74
2021,5,21,7.63,0.79
2021,5,22,5.05,0.52
2021,5,23,5.75,0.59
2021,5,24,3.84,0.4
2021,5,25,5.11,0.52
2021,5,26,5.9,0.6
2021,5,27,8.44,0.86
2021,5,28,1.92,0.2
2021,5,29,2.17,0.22
2021,5,30,2.13,0.22
2021,5,31,8.26,0.84
2021,6,1,6.24,0.63
2021,6,2,1.64,-999
2021,6,3,2.47,-999
2021,6,4,4.68,-999
2021,6,5,7.77,-999
2021,6,6,7.52,-999
2021,6,7,4.82,-999
2021,6,8,4.87,-999
2021,6,9,5.72,-999
2021,6,10,7.72,-999
2021,6,11,2.5,-999
2021,6,12,4.04,-999
2021,6,13,5.12,-999
2021,6,14,5.16,-999
2021,6,15,3.23,-999
2021,6,16,8.17,-999
2021,6,17,8.16,-999
2021,6,18,6.14,-999
2021,6,19,4.48,-999
2021,6,20,6.08,-999
2021,6,21,6.07,-999
2021,6,22,1.54,-999
2021,6,23,6.65,-999
2021,6,24,8.03,-999
2021,6,25,7.08,-999
2021,6,26,6.57,-999
2021,6,27,6.65,-999
2021,6,28,7.49,-999
2021,6,29,7.36,-999
2021,6,30,6.05,-999
2021,7,1,1.74,-999
2021,7,2,5.28,-999
2021,7,3,4.77,-999
2021,7,4,6.58,-999
2021,7,5,7.6,-999
2021,7,6,7.14,-999
2021,7,7,7.07,-999
2021,7,8,2.82,-999
2021,7,9,5.03,-999
2021,7,10,5.4,-999
2021,7,11,1.88,-999
2021,7,12,5.61,-999
2021,7,13,4.88,-999
2021,7,14,5.41,-999
2021,7,15,6.88,-999
2021,7,16,5.11,-999
2021,7,17,5.87,-999
2021,7,18,2.82,-999
2021,7,19,6.67,-999
2021,7,20,6.45,-999
2021,7,21,4.72,-999
2021,7,22,5.61,-999
2021,7,23,7.13,-999
2021,7,24,5.51,-999
2021,7,25,5.63,-999
2021,7,26,6.77,-999
2021,7,27,7.29,-999
2021,7,28,6.64,-999
2021,7,29,0.7,-999
2021,7,30,6.15,-999
2021,7,31,6.57,-999
2021,8,1,5.5,-999
2021,8,2,6.42,-999
2021,8,3,5.9,-999
2021,8,4,5.51,-999
2021,8,5,6.66,-999
2021,8,6,6.93,-999
2021,8,7,4.56,-999
2021,8,8,6.77,-999
2021,8,9,6.3,-999
2021,8,10,5.15,-999
2021,8,11,4.78,-999
2021,8,12,5.74,-999
2021,8,13,6.43,-999
2021,8,14,2.91,-999
2021,8,15,5.94,-999
2021,8,16,3.59,-999
2021,8,17,2.57,-999
2021,8,18,2.5,-999
2021,8,19,3.75,-999
2021,8,20,3.51,-999
2021,8,21,4.81,-999
2021,8,22,1.66,-999
2021,8,23,4.55,-999
2021,8,24,6.46,-999
2021,8,25,5.86,-999
2021,8,26,5.18,-999
2021,8,27,4.04,-999
2021,8,28,3.64,-999
2021,8,29,3.48,-999
2021,8,30,4.19,-999
2021,8,31,4.83,-999
2021,9,1,1.07,-999
2021,9,2,5.81,-999
2021,9,3,2.99,-999
2021,9,4,6.16,-999
2021,9,5,2.14,-999
2021,9,6,5.26,-999
2021,9,7,5.99,-999
2021,9,8,4.53,-999
2021,9,9,3.1,-999
2021,9,10,5.37,-999
2021,9,11,5.53,-999
2021,9,12,3.61,-999
2021,9,13,4.23,-999
2021,9,14,4.63,-999
2021,9,15,3.03,-999
2021,9,16,3.49,-999
2021,9,17,2.34,-999
2021,9,18,4.5,-999
2021,9,19,5.49,-999
2021,9,20,5.32,-999
2021,9,21,-999,-999
2021,9,22,-999,-999
2021,9,23,-999,-999
2021,9,24,-999,-999
2021,9,25,-999,-999
2021,9,26,-999,-999
2021,9,27,-999,-999
2021,9,28,-999,-999
2021,9,29,-999,-999
2021,9,30,-999,-999
