YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2015,1,1,7.7
2015,1,2,6.93
2015,1,3,4.98
2015,1,4,7.73
2015,1,5,5.37
2015,1,6,7.5
2015,1,7,4.86
2015,1,8,5.31
2015,1,9,7.45
2015,1,10,7.52
2015,1,11,4.39
2015,1,12,4.64
2015,1,13,4.56
2015,1,14,4.5
2015,1,15,7.54
2015,1,16,8.19
2015,1,17,8.1
2015,1,18,8.05
2015,1,19,6.35
2015,1,20,5.7
2015,1,21,6.71
2015,1,22,3.82
2015,1,23,1.66
2015,1,24,5.94
2015,1,25,7.85
2015,1,26,6.85
2015,1,27,6.63
2015,1,28,3.49
2015,1,29,6.92
2015,1,30,6.64
2015,1,31,7.79
2015,2,1,8.03
2015,2,2,5.57
2015,2,3,5.61
2015,2,4,6.09
2015,2,5,6.36
2015,2,6,6.62
2015,2,7,6.65
2015,2,8,7.75
2015,2,9,6.97
2015,2,10,6.71
2015,2,11,6.57
2015,2,12,6.35
2015,2,13,6.17
2015,2,14,7.15
2015,2,15,6.73
2015,2,16,7.18
2015,2,17,6.79
2015,2,18,5.16
2015,2,19,2.11
2015,2,20,1.91
2015,2,21,1.01
2015,2,22,4.96
2015,2,23,6.09
2015,2,24,6.73
2015,2,25,6.68
2015,2,26,6.91
2015,2,27,6.05
2015,2,28,6.22
2015,3,1,7.02
2015,3,2,5.86
2015,3,3,7.09
2015,3,4,7.01
2015,3,5,6.76
2015,3,6,4.87
2015,3,7,6.62
2015,3,8,6.66
2015,3,9,6.13
2015,3,10,6.6
2015,3,11,5.49
2015,3,12,6.14
2015,3,13,5.75
2015,3,14,5.48
2015,3,15,6.54
2015,3,16,5.97
2015,3,17,5.88
2015,3,18,4.32
2015,3,19,6.09
2015,3,20,5.65
2015,3,21,3
2015,3,22,3.14
2015,3,23,5.33
2015,3,24,6.12
2015,3,25,5.86
2015,3,26,4.82
2015,3,27,4.16
2015,3,28,4.81
2015,3,29,5.93
2015,3,30,3.82
2015,3,31,2.11
2015,4,1,1.78
2015,4,2,3.67
2015,4,3,4.77
2015,4,4,3.98
2015,4,5,4.71
2015,4,6,5.58
2015,4,7,3.8
2015,4,8,6.27
2015,4,9,5.74
2015,4,10,5.28
2015,4,11,3.94
2015,4,12,5.34
2015,4,13,3.86
2015,4,14,4.83
2015,4,15,4.72
2015,4,16,5.35
2015,4,17,5.03
2015,4,18,4.85
2015,4,19,3.77
2015,4,20,1.28
2015,4,21,3.65
2015,4,22,5.5
2015,4,23,5.08
2015,4,24,4.76
2015,4,25,5.11
2015,4,26,5.27
2015,4,27,5.03
2015,4,28,4.19
2015,4,29,2.66
2015,4,30,0.89
2015,5,1,1.53
2015,5,2,4.63
2015,5,3,3.92
2015,5,4,4.76
2015,5,5,4.59
2015,5,6,4.68
2015,5,7,4.61
2015,5,8,4.65
2015,5,9,4.77
2015,5,10,4.71
2015,5,11,4.72
2015,5,12,4.48
2015,5,13,4.62
2015,5,14,4.5
2015,5,15,4.03
2015,5,16,3.18
2015,5,17,3.15
2015,5,18,2.96
2015,5,19,2.65
2015,5,20,3.72
2015,5,21,2.92
2015,5,22,4.17
2015,5,23,3.73
2015,5,24,3.72
2015,5,25,3.72
2015,5,26,3
2015,5,27,3.26
2015,5,28,3.49
2015,5,29,3.62
2015,5,30,3.64
2015,5,31,2.44
2015,6,1,1.86
2015,6,2,4.21
2015,6,3,3.2
2015,6,4,4.07
2015,6,5,4
2015,6,6,3.15
2015,6,7,3.18
2015,6,8,3.44
2015,6,9,2.97
2015,6,10,2.57
2015,6,11,2.09
2015,6,12,2.48
2015,6,13,2.51
2015,6,14,2.3
2015,6,15,3.08
2015,6,16,1.91
2015,6,17,1.22
2015,6,18,3.88
2015,6,19,3.76
2015,6,20,3.7
2015,6,21,3.49
2015,6,22,2.53
2015,6,23,2.15
2015,6,24,1.96
2015,6,25,2.34
2015,6,26,2.94
2015,6,27,2.77
2015,6,28,3.01
2015,6,29,1.8
2015,6,30,3.42
2015,7,1,3.15
2015,7,2,3.49
2015,7,3,3.74
2015,7,4,2.74
2015,7,5,3.61
2015,7,6,3.98
2015,7,7,4.07
2015,7,8,2.79
2015,7,9,2.81
2015,7,10,2.16
2015,7,11,3.04
2015,7,12,4.2
2015,7,13,3.9
2015,7,14,4.23
2015,7,15,2.83
2015,7,16,2.91
2015,7,17,4.15
2015,7,18,4.24
2015,7,19,2.72
2015,7,20,3.37
2015,7,21,3.31
2015,7,22,2.23
2015,7,23,2.76
2015,7,24,2.99
2015,7,25,2.71
2015,7,26,3.26
2015,7,27,4.05
2015,7,28,4.33
2015,7,29,4.38
2015,7,30,4.03
2015,7,31,4.56
2015,8,1,4.43
2015,8,2,4.51
2015,8,3,4.24
2015,8,4,3.33
2015,8,5,4.94
2015,8,6,4.8
2015,8,7,4.64
2015,8,8,4.74
2015,8,9,3.87
2015,8,10,4.55
2015,8,11,4.76
2015,8,12,4.18
2015,8,13,5.1
2015,8,14,5.03
2015,8,15,3.97
2015,8,16,2.99
2015,8,17,4.84
2015,8,18,5.07
2015,8,19,4.4
2015,8,20,3.09
2015,8,21,3.13
2015,8,22,3.68
2015,8,23,3.73
2015,8,24,4.13
2015,8,25,4.75
2015,8,26,4.51
2015,8,27,2.29
2015,8,28,3.98
2015,8,29,3.73
2015,8,30,5.17
2015,8,31,5.51
2015,9,1,5.87
2015,9,2,5.36
2015,9,3,4.21
2015,9,4,5.27
2015,9,5,5.38
2015,9,6,4.48
2015,9,7,4.8
2015,9,8,5.2
2015,9,9,6.32
2015,9,10,5.39
2015,9,11,3.23
2015,9,12,4.21
2015,9,13,5.08
2015,9,14,4.87
2015,9,15,5.17
2015,9,16,5.94
2015,9,17,1.85
2015,9,18,5.01
2015,9,19,4.9
2015,9,20,4.37
2015,9,21,5.8
2015,9,22,6.23
2015,9,23,5.51
2015,9,24,6.73
2015,9,25,5.78
2015,9,26,5.07
2015,9,27,5.57
2015,9,28,6.58
2015,9,29,6.26
2015,9,30,6.64
2015,10,1,6.44
2015,10,2,7.01
2015,10,3,6.9
2015,10,4,6.93
2015,10,5,7.28
2015,10,6,7.2
2015,10,7,6.83
2015,10,8,4.3
2015,10,9,4.52
2015,10,10,6.08
2015,10,11,6.98
2015,10,12,6.91
2015,10,13,6.66
2015,10,14,5.92
2015,10,15,6.56
2015,10,16,6.6
2015,10,17,7.41
2015,10,18,7.02
2015,10,19,6.94
2015,10,20,6.62
2015,10,21,7.29
2015,10,22,5.98
2015,10,23,7.15
2015,10,24,3.97
2015,10,25,5.16
2015,10,26,6.59
2015,10,27,7.34
2015,10,28,2.66
2015,10,29,3.28
2015,10,30,4.08
2015,10,31,6.29
2015,11,1,6.13
2015,11,2,7.19
2015,11,3,7.49
2015,11,4,7.04
2015,11,5,6.03
2015,11,6,5.19
2015,11,7,7.06
2015,11,8,3.3
2015,11,9,4.46
2015,11,10,7.63
2015,11,11,7.35
2015,11,12,5.51
2015,11,13,7.54
2015,11,14,3.51
2015,11,15,5.78
2015,11,16,6.46
2015,11,17,7.66
2015,11,18,8.35
2015,11,19,8.3
2015,11,20,8.32
2015,11,21,7.82
2015,11,22,3.58
2015,11,23,7.27
2015,11,24,7.26
2015,11,25,7.82
2015,11,26,7.94
2015,11,27,6.38
2015,11,28,6.06
2015,11,29,6.84
2015,11,30,7.37
2015,12,1,6.83
2015,12,2,2.84
2015,12,3,5.12
2015,12,4,5.37
2015,12,5,7.94
2015,12,6,8.35
2015,12,7,8.06
2015,12,8,7.66
2015,12,9,6.54
2015,12,10,6.43
2015,12,11,7.27
2015,12,12,1.16
2015,12,13,6.13
2015,12,14,8.11
2015,12,15,7.33
2015,12,16,3.67
2015,12,17,7.38
2015,12,18,7.63
2015,12,19,8.36
2015,12,20,7.45
2015,12,21,8.19
2015,12,22,6.99
2015,12,23,7.22
2015,12,24,3.85
2015,12,25,5.94
2015,12,26,8.5
2015,12,27,3.91
2015,12,28,5.13
2015,12,29,6.15
2015,12,30,7.28
2015,12,31,6.89
2016,1,1,7.43
2016,1,2,8.26
2016,1,3,4.38
2016,1,4,4.7
2016,1,5,1.96
2016,1,6,8.04
2016,1,7,8.12
2016,1,8,8.03
