YEAR,MO,DY,mean_kilowatt_per_hour
2015,1,1,1.91
2015,1,2,1.515
2015,1,3,1.6975
2015,1,4,1.8425
2015,1,5,1.1925
2015,1,6,1.8525
2015,1,7,1.3775
2015,1,8,1.4875
2015,1,9,1.975
2015,1,10,1.9025
2015,1,11,0.7625
2015,1,12,1.145
2015,1,13,1.1775
2015,1,14,1.0775
2015,1,15,1.93
2015,1,16,2.1175
2015,1,17,2.1075
2015,1,18,2.0175
2015,1,19,1.515
2015,1,20,1.265
2015,1,21,1.635
2015,1,22,1.0775
2015,1,23,0.4625
2015,1,24,1.535
2015,1,25,2.0175
2015,1,26,1.6125
2015,1,27,1.38
2015,1,28,0.7175
2015,1,29,1.77
2015,1,30,1.935
2015,1,31,1.89
2015,2,1,2.0075
2015,2,2,0.8025
2015,2,3,1.2375
2015,2,4,1.605
2015,2,5,1.5625
2015,2,6,1.7175
2015,2,7,1.3125
2015,2,8,1.965
2015,2,9,1.7875
2015,2,10,1.625
2015,2,11,1.645
2015,2,12,1.6375
2015,2,13,1.4675
2015,2,14,1.635
2015,2,15,1.56
2015,2,16,1.64
2015,2,17,1.6325
2015,2,18,1.425
2015,2,19,0.79
2015,2,20,0.2775
2015,2,21,0.4625
2015,2,22,0.9475
2015,2,23,1.4425
2015,2,24,1.6625
2015,2,25,1.615
2015,2,26,1.6025
2015,2,27,1.4425
2015,2,28,1.62
2015,3,1,1.735
2015,3,2,1.2575
2015,3,3,1.7325
2015,3,4,1.825
2015,3,5,1.7575
2015,3,6,1.19
2015,3,7,1.61
2015,3,8,1.6575
2015,3,9,1.5275
2015,3,10,1.52
2015,3,11,1.145
2015,3,12,1.56
2015,3,13,1.2325
2015,3,14,1.3025
2015,3,15,1.7275
2015,3,16,1.305
2015,3,17,1.345
2015,3,18,1.005
2015,3,19,1.65
2015,3,20,1.3775
2015,3,21,0.62
2015,3,22,0.7725
2015,3,23,1.28
2015,3,24,1.5725
2015,3,25,1.3625
2015,3,26,1.1025
2015,3,27,1.275
2015,3,28,1.2275
2015,3,29,1.35
2015,3,30,0.9175
2015,3,31,0.7225
2015,4,1,0.7875
2015,4,2,1.0225
2015,4,3,0.8675
2015,4,4,0.6125
2015,4,5,1.065
2015,4,6,1.4425
2015,4,7,0.885
2015,4,8,1.53
2015,4,9,1.4325
2015,4,10,1.305
2015,4,11,0.8725
2015,4,12,1.3475
2015,4,13,0.9775
2015,4,14,1.155
2015,4,15,1
2015,4,16,1.3525
2015,4,17,1.2875
2015,4,18,1.21
2015,4,19,0.8825
2015,4,20,0.2925
2015,4,21,0.95
2015,4,22,1.355
2015,4,23,1.265
2015,4,24,1.095
2015,4,25,1.275
2015,4,26,1.34
2015,4,27,1.2475
2015,4,28,1.135
2015,4,29,0.7
2015,4,30,0.225
2015,5,1,0.23
2015,5,2,0.9375
2015,5,3,0.9975
2015,5,4,1.04
2015,5,5,1.1325
2015,5,6,1.2
2015,5,7,0.82
2015,5,8,1.19
2015,5,9,1.1925
2015,5,10,1.2
2015,5,11,1.18
2015,5,12,1.1275
2015,5,13,1.1225
2015,5,14,1.14
2015,5,15,0.7925
2015,5,16,0.7075
2015,5,17,0.785
2015,5,18,0.7
2015,5,19,0.61
2015,5,20,0.855
2015,5,21,0.4675
2015,5,22,1.0125
2015,5,23,0.775
2015,5,24,0.815
2015,5,25,0.7475
2015,5,26,0.765
2015,5,27,0.6275
2015,5,28,0.8575
2015,5,29,0.77
2015,5,30,0.73
2015,5,31,0.72
